,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),-32.52,15.74,-2.066,-13.59,-2.8046,-2.3926,-2.4404,15.1779,95.0
均值方差(MV),0.96,18.07,0.0531,-10.45,-3.0046,0.0918,-2.1311,10.0707,95.0
风险平价(RP),-21.68,14.49,-1.4961,-10.15,-2.4923,-2.1365,-2.2648,13.5319,95.0
层次化RP(HRP),-19.84,14.01,-1.416,-9.92,-2.3729,-2.0004,-1.999,11.5048,95.0
BL无观点,-21.5,14.08,-1.5266,-10.3,-2.3905,-2.0882,-1.9366,11.2262,95.0
BL动量观点,-18.32,18.43,-0.9944,-14.97,-3.108,-1.2241,-1.4474,6.5588,95.0
反中心性(规则1),-32.62,15.96,-2.0438,-12.96,-2.8624,-2.5166,-2.7848,17.7465,95.0
直接中心性(规则2),-36.07,16.59,-2.174,-17.51,-2.64,-2.0598,-0.8804,5.3508,95.0
PageRank(规则3),-37.28,15.73,-2.3698,-15.72,-2.7362,-2.3723,-1.8838,11.7525,95.0
网络正则化RP,-18.49,14.96,-1.236,-9.32,-2.6402,-1.985,-2.5975,15.6491,95.0
★网络增强BL,-5.32,15.83,-0.3362,-9.78,-2.5725,-0.5438,-3.0256,19.0027,95.0
★去噪风险平价,-21.55,14.42,-1.4945,-10.07,-2.454,-2.1405,-2.1629,12.7211,95.0
★社区BL-RP,-20.23,15.19,-1.3321,-9.91,-2.6906,-2.0411,-2.5127,15.007,95.0
◆最小方差,-7.39,13.71,-0.5388,-7.46,-2.2191,-0.9904,-1.7302,8.957,95.0
◆最大分散化,-16.52,16.57,-0.9969,-7.83,-2.9444,-2.1093,-2.7593,16.3916,95.0
◆拉普拉斯MV,0.6,18.32,0.0328,-10.73,-3.0555,0.056,-2.2939,11.2608,95.0
◆图过滤RP,-24.59,14.77,-1.6645,-11.12,-2.5966,-2.2111,-2.4785,15.2688,95.0
◆图平滑动量BL,-12.82,17.65,-0.7261,-12.93,-2.8976,-0.9914,-0.8711,3.2043,95.0
