,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days,turnover,effective_n
等权(1/N),17.21,16.92,1.0174,-15.13,-2.2686,1.1377,0.0413,10.6699,474.0,0.0,30.0
均值方差(MV),20.63,17.29,1.1931,-12.48,-2.427,1.6537,-0.5195,4.1062,474.0,0.3675,10.0
风险平价(RP),18.75,14.96,1.2538,-11.26,-2.0249,1.666,-0.063,10.878,474.0,0.0384,26.43
层次化RP(HRP),19.76,14.43,1.3697,-10.92,-1.9216,1.8099,0.0493,10.801,474.0,0.2434,22.17
BL无观点,19.28,14.76,1.3064,-9.7,-1.9564,1.9888,0.1251,10.9769,474.0,0.0567,23.88
BL动量观点,16.03,19.19,0.8352,-23.03,-2.7023,0.6961,-0.002,8.8059,474.0,0.7477,10.53
反中心性(规则1),16.79,16.95,0.9906,-15.39,-2.2925,1.0912,-0.0908,10.8742,474.0,0.1183,27.01
直接中心性(规则2),16.94,18.5,0.9154,-14.65,-2.2615,1.1562,0.6008,8.0434,474.0,0.4924,10.38
PageRank(规则3),16.32,17.31,0.9424,-15.74,-2.2655,1.0368,0.297,10.3013,474.0,0.1199,25.91
网络正则化RP,19.6,15.27,1.2831,-12.16,-2.0884,1.6119,-0.2396,10.6185,474.0,0.2071,22.33
★网络增强BL,21.22,15.15,1.4007,-12.45,-2.0482,1.704,-0.6292,10.1759,474.0,0.3324,12.6
★去噪风险平价,18.86,14.77,1.2767,-10.71,-1.9985,1.7608,-0.0411,10.6627,474.0,0.0373,25.83
★社区BL-RP,19.35,15.64,1.2372,-13.02,-2.1418,1.4865,-0.1474,10.3885,474.0,0.1725,27.51
