date,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,中国国债收益率10年-2年,中国GDP年增率
2023-01-03,2.3251,2.6298,2.8228,3.193,0.4977,
2023-01-04,2.2961,2.6071,2.8103,3.1931,0.5142,
2023-01-05,2.3168,2.625,2.8304,3.2056,0.5136,
2023-01-06,2.3428,2.6495,2.8328,3.2106,0.49,
2023-01-09,2.3654,2.6649,2.8428,3.2156,0.4774,
2023-01-10,2.4016,2.7104,2.8602,3.2331,0.4586,
2023-01-11,2.3709,2.6989,2.8603,3.2331,0.4894,
2023-01-12,2.3677,2.6974,2.8778,3.2378,0.5101,
2023-01-13,2.379,2.7096,2.901,3.2476,0.522,
2023-01-16,2.4164,2.7571,2.9167,3.2677,0.5003,
2023-01-17,2.4013,2.7346,2.9017,3.2531,0.5004,
2023-01-18,2.4262,2.7257,2.9222,3.2754,0.496,
2023-01-19,2.4159,2.721,2.9145,3.273,0.4986,
2023-01-20,2.4273,2.7288,2.9331,3.2779,0.5058,
2023-01-23,,,,,,
2023-01-24,,,,,,
2023-01-25,,,,,,
2023-01-26,,,,,,
2023-01-27,,,,,,
2023-01-28,2.4312,2.7283,2.9341,3.283,0.5029,
2023-01-29,2.4235,2.7225,2.9219,3.2805,0.4984,
2023-01-30,2.4359,2.7238,2.9133,3.2782,0.4774,
2023-01-31,2.4193,2.7039,2.8977,3.2793,0.4784,
2023-02-01,2.433,2.7091,2.9101,3.2889,0.4771,
2023-02-02,2.4184,2.6945,2.897,3.2853,0.4786,
2023-02-03,2.4196,2.6921,2.8943,3.283,0.4747,
2023-02-06,2.4397,2.7054,2.9017,3.2879,0.462,
2023-02-07,2.44,2.6983,2.8964,3.2827,0.4564,
2023-02-08,2.451,2.703,2.8973,3.2808,0.4463,
2023-02-09,2.4372,2.6959,2.8912,3.2784,0.454,
2023-02-10,2.438,2.6961,2.9003,3.2857,0.4623,
2023-02-13,2.4368,2.6967,2.8943,3.2829,0.4575,
2023-02-14,2.4341,2.695,2.8914,3.281,0.4573,
2023-02-15,2.437,2.6945,2.8918,3.2816,0.4548,
2023-02-16,2.4389,2.6921,2.8907,3.283,0.4518,
2023-02-17,2.4472,2.6976,2.892,3.283,0.4448,
2023-02-20,2.486,2.7392,2.917,3.2977,0.431,
2023-02-21,2.4923,2.739,2.919,3.3025,0.4267,
2023-02-22,2.483,2.7342,2.9175,3.3025,0.4345,
2023-02-23,2.4947,2.7446,2.922,3.3053,0.4273,
2023-02-24,2.492,2.7395,2.9126,3.3016,0.4206,
2023-02-27,2.4942,2.7398,2.9117,3.3051,0.4175,
2023-02-28,2.4885,2.7374,2.9017,3.3029,0.4132,
2023-03-01,2.4682,2.7354,2.8977,3.3049,0.4295,
2023-03-02,2.4753,2.7513,2.9111,3.31,0.4358,
2023-03-03,2.4647,2.7387,2.9026,3.3079,0.4379,
2023-03-06,2.4473,2.7114,2.8826,3.2897,0.4353,
